"id";"name";"brand";"category";"ref";"price";"cost";"sizes";"image";"color";"stock";"note";"source"
"5809";"NIKE TN HOMBRE $85.000";"Nike";"Hombre";"";"85000";"0";"736";"IMG-20260326-WA0810.jpg";"";"0";"";"SUMBAWA"
"5810";"NIKE TN HOMBRE $85.000";"Nike";"Hombre";"";"85000";"0";"742";"IMG-20260326-WA0811.jpg";"";"0";"";"SUMBAWA"
"5811";"NIKE TN HOMBRE $85.000";"Nike";"Hombre";"";"85000";"0";"737";"IMG-20260326-WA0812.jpg";"";"0";"";"SUMBAWA"
"5812";"NIKE TN HOMBRE $85.000";"Nike";"Hombre";"";"85000";"0";"738";"IMG-20260326-WA0813.jpg";"";"0";"";"SUMBAWA"
"5813";"NIKE ZOOM TRAIL HOMBRE $90.000";"Nike";"Hombre";"";"90000";"0";"753";"IMG-20260318-WA0015.jpg";"";"0";"";"SUMBAWA"
"5814";"NIKE ZOOM TRAIL HOMBRE $90.000";"Nike";"Hombre";"";"90000";"0";"754";"IMG-20260318-WA0017.jpg";"";"0";"";"SUMBAWA"
"5815";"NIKE ZOOM VOMERO 18 GORE-TEX  HOMBRE";"Nike";"Hombre";"";"95000";"0";"720";"IMG-20260331-WA0423.jpg";"";"0";"";"SUMBAWA"
"5816";"NIKE ZOOM VOMERO 18 GORE-TEX  HOMBRE";"Nike";"Hombre";"";"95000";"0";"722";"IMG-20260331-WA0424.jpg";"";"0";"";"SUMBAWA"
"5817";"NEW BALANCE 530 DAMA";"New Balance";"Mujer";"";"85000";"0";"812";"IMG-20260331-WA0425.jpg";"";"0";"";"SUMBAWA"
"5818";"Nike Tailwind";"Nike";"Hombre";"";"100000";"0";"40";"IMG-20260331-WA0426.jpg";"";"0";"";"Cali Pedidos"
"5819";"Nike Tailwind";"Nike";"Hombre";"";"100000";"0";"40";"IMG-20260331-WA0427.jpg";"";"0";"";"Cali Pedidos"
"5820";"OFF WHITE";"";"Mujer";"";"95000";"0";"5";"IMG-20260331-WA0428.jpg";"";"0";"";"Cali Pedidos"
"5821";"OFF WHITE";"";"Mujer";"";"95000";"0";"5";"IMG-20260331-WA0429.jpg";"";"0";"";"Cali Pedidos"
"5822";"OFF WHITE";"";"Mujer";"";"95000";"0";"5";"IMG-20260331-WA0430.jpg";"";"0";"";"Cali Pedidos"
"5823";"OFF WHITE";"";"Mujer";"";"95000";"0";"5";"IMG-20260331-WA0431.jpg";"";"0";"";"Cali Pedidos"
"5824";"OFF WHITE";"";"Hombre";"";"95000";"0";"40";"IMG-20260331-WA0432.jpg";"";"0";"";"Cali Pedidos"
"5825";"OFF WHITE";"";"Hombre";"";"95000";"0";"40";"IMG-20260331-WA0433.jpg";"";"0";"";"Cali Pedidos"
"5826";"OFF WHITE";"";"Hombre";"";"95000";"0";"40";"IMG-20260331-WA0434.jpg";"";"0";"";"Cali Pedidos"
"5827";"Nike Humara";"Nike";"Hombre";"";"90000";"0";"40";"IMG-20260331-WA0435.jpg";"";"0";"";"Cali Pedidos"
"5828";"Nike Humara";"Nike";"Hombre";"";"90000";"0";"40";"IMG-20260331-WA0436.jpg";"";"0";"";"Cali Pedidos"
"5829";"New Balance 530";"New Balance";"Mujer";"";"85000";"0";"530";"IMG-20260331-WA0437.jpg";"";"0";"";"Cali Pedidos"
"5830";"New Balance 530";"New Balance";"Mujer";"";"85000";"0";"530";"IMG-20260331-WA0438.jpg";"";"0";"";"Cali Pedidos"
"5831";"New Balance 530";"New Balance";"Mujer";"";"85000";"0";"530";"IMG-20260331-WA0439.jpg";"";"0";"";"Cali Pedidos"
"5832";"New Balance 530";"New Balance";"Mujer";"";"85000";"0";"530";"IMG-20260331-WA0440.jpg";"";"0";"";"Cali Pedidos"
"5833";"New Balance 530";"New Balance";"Mujer";"";"85000";"0";"530";"IMG-20260331-WA0441.jpg";"";"0";"";"Cali Pedidos"
"5834";"New Balance 530";"New Balance";"Hombre";"";"85000";"0";"40";"IMG-20260331-WA0442.jpg";"";"0";"";"Cali Pedidos"
"5835";"Nike Payaso";"Nike";"Mujer";"";"85000";"0";"5";"IMG-20260331-WA0443.jpg";"";"0";"";"Cali Pedidos"
